"","state","county","time","EmpS","EarnS"
"1","01","001",2001-04-01,10113,2274
"2","01","001",2001-07-01,9977,2243
"3","01","001",2001-10-01,10406,2370
"4","01","001",2002-01-01,10616,2279
"5","01","001",2002-04-01,10615,2309
"6","01","001",2002-07-01,10374,2261
"7","01","001",2002-10-01,10782,2346
"8","01","001",2003-01-01,10131,2342
"9","01","001",2003-04-01,10070,2357
"10","01","001",2003-07-01,9851,2322
"11","01","001",2003-10-01,10321,2441
"12","01","001",2004-01-01,9556,2372
"13","01","001",2004-04-01,9594,2433
"14","01","001",2004-07-01,9241,2443
"15","01","001",2004-10-01,10005,2564
"16","01","001",2005-01-01,10131,2399
"17","01","001",2005-04-01,10085,2442
"18","01","001",2005-07-01,9615,2562
"19","01","001",2005-10-01,10239,2542
"20","01","001",2006-01-01,10036,2607
"21","01","001",2006-04-01,9921,2550
"22","01","001",2006-07-01,9569,2605
"23","01","001",2006-10-01,10039,2665
"24","01","001",2007-01-01,10016,2730
"25","01","001",2007-04-01,10045,2643
"26","01","001",2007-07-01,9804,2690
"27","01","001",2007-10-01,10250,2764
"28","01","001",2008-01-01,10030,2850
"29","01","001",2008-04-01,10131,2742
"30","01","001",2008-07-01,9752,2861
"31","01","001",2008-10-01,10134,2926
"32","01","001",2009-01-01,9902,2752
"33","01","001",2009-04-01,9864,2744
"34","01","001",2009-07-01,9471,2833
"35","01","001",2009-10-01,9826,2992
"36","01","001",2010-01-01,9845,2734
"37","01","001",2010-04-01,9815,2778
"38","01","001",2010-07-01,9519,2902
"39","01","001",2010-10-01,9915,3061
"40","01","001",2011-01-01,9762,2812
"41","01","001",2011-04-01,9904,2877
"42","01","001",2011-07-01,9428,2946
"43","01","001",2011-10-01,9726,3130
"44","01","001",2012-01-01,9558,2988
"45","01","001",2012-04-01,9576,3037
"46","01","001",2012-07-01,9297,2932
"47","01","001",2012-10-01,9693,3167
"48","01","001",2013-01-01,9611,2962
"49","01","001",2013-04-01,9662,3061
"50","01","001",2013-07-01,9419,2913
"51","01","001",2013-10-01,9852,3122
"52","01","001",2014-01-01,9921,2987
"53","01","001",2014-04-01,9714,2968
"54","01","001",2014-07-01,9478,2976
"55","01","001",2014-10-01,10006,3233
"56","01","001",2015-01-01,9963,3066
"57","01","001",2015-04-01,9910,3161
"58","01","001",2015-07-01,9712,3061
"59","01","001",2015-10-01,10247,3366
"60","01","001",2016-01-01,10254,3119
"61","01","001",2016-04-01,10236,3206
"62","01","001",2016-07-01,9879,3327
"63","01","001",2016-10-01,10435,3308
"64","01","001",2017-01-01,10421,3373
"65","01","001",2017-04-01,10495,3254
"66","01","001",2017-07-01,10336,3312
"67","01","001",2017-10-01,10802,3384
"68","01","001",2018-01-01,10625,3506
"69","01","001",2018-04-01,10648,3336
"70","01","001",2018-07-01,10355,3430
"71","01","001",2018-10-01,10843,3523
"72","01","001",2019-01-01,10842,3618
"73","01","003",2001-04-01,42181,2145
"74","01","003",2001-07-01,42019,2168
"75","01","003",2001-10-01,41876,2247
"76","01","003",2002-01-01,40832,2186
"77","01","003",2002-04-01,41830,2212
"78","01","003",2002-07-01,41428,2239
"79","01","003",2002-10-01,42059,2328
"80","01","003",2003-01-01,41391,2250
"81","01","003",2003-04-01,42379,2286
"82","01","003",2003-07-01,42129,2317
"83","01","003",2003-10-01,43349,2414
"84","01","003",2004-01-01,43401,2307
"85","01","003",2004-04-01,45155,2351
"86","01","003",2004-07-01,44055,2417
"87","01","003",2004-10-01,43665,2651
"88","01","003",2005-01-01,44964,2386
"89","01","003",2005-04-01,46523,2505
"90","01","003",2005-07-01,45950,2602
"91","01","003",2005-10-01,47248,2702
"92","01","003",2006-01-01,47355,2615
"93","01","003",2006-04-01,48502,2664
"94","01","003",2006-07-01,48869,2663
"95","01","003",2006-10-01,50493,2763
"96","01","003",2007-01-01,50159,2668
"97","01","003",2007-04-01,51222,2728
"98","01","003",2007-07-01,51275,2730
"99","01","003",2007-10-01,52099,2822
"100","01","003",2008-01-01,51188,2720
"101","01","003",2008-04-01,52673,2774
"102","01","003",2008-07-01,51834,2771
"103","01","003",2008-10-01,52154,2878
"104","01","003",2009-01-01,50329,2667
"105","01","003",2009-04-01,51566,2732
"106","01","003",2009-07-01,50859,2745
"107","01","003",2009-10-01,50237,2888
"108","01","003",2010-01-01,49309,2637
"109","01","003",2010-04-01,50284,2792
"110","01","003",2010-07-01,49611,2802
"111","01","003",2010-10-01,50466,2935
"112","01","003",2011-01-01,49741,2708
"113","01","003",2011-04-01,51789,2805
"114","01","003",2011-07-01,51071,2924
"115","01","003",2011-10-01,51356,2871
"116","01","003",2012-01-01,50145,2859
"117","01","003",2012-04-01,52195,2836
"118","01","003",2012-07-01,52199,2849
"119","01","003",2012-10-01,52831,2926
"120","01","003",2013-01-01,51561,2868
"121","01","003",2013-04-01,53669,2882
"122","01","003",2013-07-01,53397,2927
"123","01","003",2013-10-01,54295,2976
"124","01","003",2014-01-01,53422,2877
"125","01","003",2014-04-01,55398,2915
"126","01","003",2014-07-01,54797,2972
"127","01","003",2014-10-01,56141,3064
"128","01","003",2015-01-01,55410,2896
"129","01","003",2015-04-01,57396,2992
"130","01","003",2015-07-01,57403,3031
"131","01","003",2015-10-01,58586,3199
"132","01","003",2016-01-01,58123,2878
"133","01","003",2016-04-01,60127,3049
"134","01","003",2016-07-01,59162,3186
"135","01","003",2016-10-01,60155,3176
"136","01","003",2017-01-01,59152,3078
"137","01","003",2017-04-01,61058,3158
"138","01","003",2017-07-01,60599,3137
"139","01","003",2017-10-01,61832,3269
"140","01","003",2018-01-01,60370,3149
"141","01","003",2018-04-01,62551,3263
"142","01","003",2018-07-01,62013,3240
"143","01","003",2018-10-01,63607,3410
"144","01","003",2019-01-01,62920,3262
"145","01","005",2001-04-01,9570,1974
"146","01","005",2001-07-01,9201,1983
"147","01","005",2001-10-01,9451,2091
"148","01","005",2002-01-01,9145,1977
"149","01","005",2002-04-01,9138,2001
"150","01","005",2002-07-01,8979,2010
"151","01","005",2002-10-01,8977,2107
"152","01","005",2003-01-01,8843,2011
"153","01","005",2003-04-01,8699,2022
"154","01","005",2003-07-01,8645,2061
"155","01","005",2003-10-01,8893,2126
"156","01","005",2004-01-01,8628,2028
"157","01","005",2004-04-01,8739,2160
"158","01","005",2004-07-01,8701,2224
"159","01","005",2004-10-01,8942,2333
"160","01","005",2005-01-01,9028,2144
"161","01","005",2005-04-01,9044,2234
"162","01","005",2005-07-01,9081,2370
"163","01","005",2005-10-01,9156,2348
"164","01","005",2006-01-01,8891,2331
"165","01","005",2006-04-01,9064,2337
"166","01","005",2006-07-01,8847,2367
"167","01","005",2006-10-01,9113,2464
"168","01","005",2007-01-01,8781,2431
"169","01","005",2007-04-01,8688,2484
"170","01","005",2007-07-01,8298,2522
"171","01","005",2007-10-01,8750,2607
"172","01","005",2008-01-01,8647,2513
"173","01","005",2008-04-01,8815,2589
"174","01","005",2008-07-01,8766,2627
"175","01","005",2008-10-01,8913,2679
"176","01","005",2009-01-01,8483,2488
"177","01","005",2009-04-01,8277,2513
"178","01","005",2009-07-01,7787,2509
"179","01","005",2009-10-01,7687,2702
"180","01","005",2010-01-01,7816,2478
"181","01","005",2010-04-01,7847,2688
"182","01","005",2010-07-01,7853,2705
"183","01","005",2010-10-01,8017,2822
"184","01","005",2011-01-01,7852,2577
"185","01","005",2011-04-01,7948,2646
"186","01","005",2011-07-01,7549,2783
"187","01","005",2011-10-01,7485,2752
"188","01","005",2012-01-01,7296,2770
