"","time","state","county","NAME","SAEMHI_PT","SAEPOVRTALL_PT"
"1",2000-01-01,"01","001","Autauga County",42463,10.5
"2",2000-01-01,"01","003","Baldwin County",41283,9.7
"3",2000-01-01,"01","005","Barbour County",26612,22.2
"4",2000-01-01,"01","007","Bibb County",31776,17.8
"5",2000-01-01,"01","009","Blount County",36863,12
"6",2000-01-01,"01","011","Bullock County",21400,28.6
"7",2000-01-01,"01","013","Butler County",25763,20.7
"8",2000-01-01,"01","015","Calhoun County",32604,15.1
"9",2000-01-01,"01","017","Chambers County",30505,15.4
"10",2000-01-01,"01","019","Cherokee County",31436,15.6
"11",2000-01-01,"01","021","Chilton County",33650,15.3
"12",2000-01-01,"01","023","Choctaw County",26388,18.8
"13",2000-01-01,"01","025","Clarke County",28734,19.1
"14",2000-01-01,"01","027","Clay County",28940,14.3
"15",2000-01-01,"01","029","Cleburne County",31551,14.4
"16",2000-01-01,"01","031","Coffee County",34561,14.4
"17",2000-01-01,"01","033","Colbert County",33227,13.1
"18",2000-01-01,"01","035","Conecuh County",23683,22.8
"19",2000-01-01,"01","037","Coosa County",29926,14.5
"20",2000-01-01,"01","039","Covington County",27531,17.6
"21",2000-01-01,"01","041","Crenshaw County",27345,19.1
"22",2000-01-01,"01","043","Cullman County",33441,12.8
"23",2000-01-01,"01","045","Dale County",32824,15.3
"24",2000-01-01,"01","047","Dallas County",24944,24.4
"25",2000-01-01,"01","049","DeKalb County",31087,14.8
"26",2000-01-01,"01","051","Elmore County",41233,12.1
"27",2000-01-01,"01","053","Escambia County",28942,18.6
"28",2000-01-01,"01","055","Etowah County",31490,15.5
"29",2000-01-01,"01","057","Fayette County",30362,15.5
"30",2000-01-01,"01","059","Franklin County",28341,16.9
"31",2000-01-01,"01","061","Geneva County",27382,18.4
"32",2000-01-01,"01","063","Greene County",21163,26.8
"33",2000-01-01,"01","065","Hale County",26400,21.7
"34",2000-01-01,"01","067","Henry County",31049,16.3
"35",2000-01-01,"01","069","Houston County",35287,15
"36",2000-01-01,"01","071","Jackson County",33289,13.3
"37",2000-01-01,"01","073","Jefferson County",37094,12.8
"38",2000-01-01,"01","075","Lamar County",29396,16.1
"39",2000-01-01,"01","077","Lauderdale County",34032,12.7
"40",2000-01-01,"01","079","Lawrence County",33794,14
"41",2000-01-01,"01","081","Lee County",32678,14.2
"42",2000-01-01,"01","083","Limestone County",38984,12.2
"43",2000-01-01,"01","085","Lowndes County",24089,24.3
"44",2000-01-01,"01","087","Macon County",22274,27.6
"45",2000-01-01,"01","089","Madison County",45736,10.1
"46",2000-01-01,"01","091","Marengo County",28060,20.5
"47",2000-01-01,"01","093","Marion County",28247,16.9
"48",2000-01-01,"01","095","Marshall County",32470,14.3
"49",2000-01-01,"01","097","Mobile County",34685,17.1
"50",2000-01-01,"01","099","Monroe County",29802,18.8
"51",2000-01-01,"01","101","Montgomery County",36918,16
"52",2000-01-01,"01","103","Morgan County",39515,11.1
"53",2000-01-01,"01","105","Perry County",20969,31
"54",2000-01-01,"01","107","Pickens County",27065,20.1
"55",2000-01-01,"01","109","Pike County",26317,21.8
"56",2000-01-01,"01","111","Randolph County",29048,16.7
"57",2000-01-01,"01","113","Russell County",28641,17.1
"58",2000-01-01,"01","115","St. Clair County",37513,12.8
"59",2000-01-01,"01","117","Shelby County",59451,6.4
"60",2000-01-01,"01","119","Sumter County",20582,28.6
"61",2000-01-01,"01","121","Talladega County",31457,16.9
"62",2000-01-01,"01","123","Tallapoosa County",30941,15.7
"63",2000-01-01,"01","125","Tuscaloosa County",34294,15.1
"64",2000-01-01,"01","127","Walker County",30313,14.9
"65",2000-01-01,"01","129","Washington County",31797,17
"66",2000-01-01,"01","131","Wilcox County",18813,30.6
"67",2000-01-01,"01","133","Winston County",28366,17.6
"68",2001-01-01,"01","001","Autauga County",42183,10.8
"69",2001-01-01,"01","003","Baldwin County",40406,11.1
"70",2001-01-01,"01","005","Barbour County",25480,24.2
"71",2001-01-01,"01","007","Bibb County",31074,18.2
"72",2001-01-01,"01","009","Blount County",36175,13.6
"73",2001-01-01,"01","011","Bullock County",20367,32.9
"74",2001-01-01,"01","013","Butler County",25284,21.6
"75",2001-01-01,"01","015","Calhoun County",31849,16.3
"76",2001-01-01,"01","017","Chambers County",29824,16.3
"77",2001-01-01,"01","019","Cherokee County",30738,16.9
"78",2001-01-01,"01","021","Chilton County",32883,16.3
"79",2001-01-01,"01","023","Choctaw County",25878,19.5
"80",2001-01-01,"01","025","Clarke County",28010,20
"81",2001-01-01,"01","027","Clay County",28289,15.7
"82",2001-01-01,"01","029","Cleburne County",31125,16.5
"83",2001-01-01,"01","031","Coffee County",33916,15.5
"84",2001-01-01,"01","033","Colbert County",32249,14.8
"85",2001-01-01,"01","035","Conecuh County",23177,23.5
"86",2001-01-01,"01","037","Coosa County",29114,15.5
"87",2001-01-01,"01","039","Covington County",27108,18.7
"88",2001-01-01,"01","041","Crenshaw County",26965,19.7
"89",2001-01-01,"01","043","Cullman County",32877,14.2
"90",2001-01-01,"01","045","Dale County",31966,16.4
"91",2001-01-01,"01","047","Dallas County",24191,25.2
"92",2001-01-01,"01","049","DeKalb County",30297,16.7
"93",2001-01-01,"01","051","Elmore County",40445,13.4
"94",2001-01-01,"01","053","Escambia County",28029,19.9
"95",2001-01-01,"01","055","Etowah County",30516,17
"96",2001-01-01,"01","057","Fayette County",29684,16.9
"97",2001-01-01,"01","059","Franklin County",27618,18.5
"98",2001-01-01,"01","061","Geneva County",26992,20.1
"99",2001-01-01,"01","063","Greene County",20771,28.4
"100",2001-01-01,"01","065","Hale County",25063,24.6
"101",2001-01-01,"01","067","Henry County",30154,17.1
"102",2001-01-01,"01","069","Houston County",34500,16
"103",2001-01-01,"01","071","Jackson County",32302,14.9
"104",2001-01-01,"01","073","Jefferson County",37058,13.6
"105",2001-01-01,"01","075","Lamar County",28608,17.2
"106",2001-01-01,"01","077","Lauderdale County",33426,14.7
"107",2001-01-01,"01","079","Lawrence County",33159,15.1
"108",2001-01-01,"01","081","Lee County",32200,15.6
"109",2001-01-01,"01","083","Limestone County",38473,12.7
"110",2001-01-01,"01","085","Lowndes County",23546,25.3
"111",2001-01-01,"01","087","Macon County",21720,28.5
"112",2001-01-01,"01","089","Madison County",46036,10.4
"113",2001-01-01,"01","091","Marengo County",27684,21.3
"114",2001-01-01,"01","093","Marion County",27264,19.8
"115",2001-01-01,"01","095","Marshall County",32541,15.7
"116",2001-01-01,"01","097","Mobile County",33087,18.3
"117",2001-01-01,"01","099","Monroe County",28951,19.2
"118",2001-01-01,"01","101","Montgomery County",35923,17.3
"119",2001-01-01,"01","103","Morgan County",38932,12.4
"120",2001-01-01,"01","105","Perry County",20073,33.2
"121",2001-01-01,"01","107","Pickens County",26521,20.4
"122",2001-01-01,"01","109","Pike County",25621,23.2
"123",2001-01-01,"01","111","Randolph County",28276,18.4
"124",2001-01-01,"01","113","Russell County",28042,18.8
"125",2001-01-01,"01","115","St. Clair County",36820,14.1
"126",2001-01-01,"01","117","Shelby County",59840,6.9
"127",2001-01-01,"01","119","Sumter County",19769,29.8
"128",2001-01-01,"01","121","Talladega County",30609,17.9
"129",2001-01-01,"01","123","Tallapoosa County",30052,17.1
"130",2001-01-01,"01","125","Tuscaloosa County",33614,16.1
"131",2001-01-01,"01","127","Walker County",29487,16.2
"132",2001-01-01,"01","129","Washington County",30784,17.9
"133",2001-01-01,"01","131","Wilcox County",18264,30.6
"134",2001-01-01,"01","133","Winston County",27553,19.8
"135",2002-01-01,"01","001","Autauga County",42841,10.3
"136",2002-01-01,"01","003","Baldwin County",40818,10.7
"137",2002-01-01,"01","005","Barbour County",25279,23.6
"138",2002-01-01,"01","007","Bibb County",31387,17.7
"139",2002-01-01,"01","009","Blount County",36386,12.6
"140",2002-01-01,"01","011","Bullock County",20137,31.4
"141",2002-01-01,"01","013","Butler County",25826,20.4
"142",2002-01-01,"01","015","Calhoun County",32013,15.8
"143",2002-01-01,"01","017","Chambers County",29993,16.1
"144",2002-01-01,"01","019","Cherokee County",31011,16.3
"145",2002-01-01,"01","021","Chilton County",33129,15.9
"146",2002-01-01,"01","023","Choctaw County",25928,18.7
"147",2002-01-01,"01","025","Clarke County",27987,19
"148",2002-01-01,"01","027","Clay County",28765,14.2
"149",2002-01-01,"01","029","Cleburne County",31359,15.2
"150",2002-01-01,"01","031","Coffee County",34621,14.4
"151",2002-01-01,"01","033","Colbert County",32206,14.2
"152",2002-01-01,"01","035","Conecuh County",23366,22.6
"153",2002-01-01,"01","037","Coosa County",28979,15.3
"154",2002-01-01,"01","039","Covington County",27654,17.8
"155",2002-01-01,"01","041","Crenshaw County",27425,17.9
"156",2002-01-01,"01","043","Cullman County",32821,14
"157",2002-01-01,"01","045","Dale County",32103,16.1
"158",2002-01-01,"01","047","Dallas County",23732,25
"159",2002-01-01,"01","049","DeKalb County",30331,16.1
"160",2002-01-01,"01","051","Elmore County",41046,13
"161",2002-01-01,"01","053","Escambia County",27711,20.2
"162",2002-01-01,"01","055","Etowah County",30494,16.5
"163",2002-01-01,"01","057","Fayette County",29309,16.5
"164",2002-01-01,"01","059","Franklin County",27370,18
"165",2002-01-01,"01","061","Geneva County",27180,18.6
"166",2002-01-01,"01","063","Greene County",20763,27.3
"167",2002-01-01,"01","065","Hale County",25121,22.6
"168",2002-01-01,"01","067","Henry County",30534,16.3
"169",2002-01-01,"01","069","Houston County",34605,15.4
"170",2002-01-01,"01","071","Jackson County",32278,14.9
"171",2002-01-01,"01","073","Jefferson County",37375,13.9
"172",2002-01-01,"01","075","Lamar County",28243,16.6
"173",2002-01-01,"01","077","Lauderdale County",33231,15.1
"174",2002-01-01,"01","079","Lawrence County",32505,14.4
"175",2002-01-01,"01","081","Lee County",32460,15.2
"176",2002-01-01,"01","083","Limestone County",38859,12.4
"177",2002-01-01,"01","085","Lowndes County",23300,24
"178",2002-01-01,"01","087","Macon County",21621,28
"179",2002-01-01,"01","089","Madison County",46937,10.4
"180",2002-01-01,"01","091","Marengo County",28080,19.8
"181",2002-01-01,"01","093","Marion County",26774,18.5
"182",2002-01-01,"01","095","Marshall County",32971,15.6
"183",2002-01-01,"01","097","Mobile County",32393,18.6
"184",2002-01-01,"01","099","Monroe County",28463,18.3
"185",2002-01-01,"01","101","Montgomery County",35406,17.4
"186",2002-01-01,"01","103","Morgan County",38979,12.3
"187",2002-01-01,"01","105","Perry County",19876,32.3
"188",2002-01-01,"01","107","Pickens County",26200,19.7
"189",2002-01-01,"01","109","Pike County",25630,22.2
"190",2002-01-01,"01","111","Randolph County",28546,17.2
"191",2002-01-01,"01","113","Russell County",27981,18.6
"192",2002-01-01,"01","115","St. Clair County",37381,13.7
"193",2002-01-01,"01","117","Shelby County",61393,6.5
"194",2002-01-01,"01","119","Sumter County",19820,27.9
"195",2002-01-01,"01","121","Talladega County",31367,17.4
"196",2002-01-01,"01","123","Tallapoosa County",29994,16.3
"197",2002-01-01,"01","125","Tuscaloosa County",33598,16.1
"198",2002-01-01,"01","127","Walker County",29945,15.4
"199",2002-01-01,"01","129","Washington County",30541,17.3
"200",2002-01-01,"01","131","Wilcox County",18455,29.9
"201",2002-01-01,"01","133","Winston County",26918,18.3
"202",2003-01-01,"01","001","Autauga County",44241,10.4
"203",2003-01-01,"01","003","Baldwin County",41961,10.1
"204",2003-01-01,"01","005","Barbour County",26062,22.2
"205",2003-01-01,"01","007","Bibb County",32924,16.8
"206",2003-01-01,"01","009","Blount County",37758,11.9
"207",2003-01-01,"01","011","Bullock County",20903,26.5
"208",2003-01-01,"01","013","Butler County",26951,20
"209",2003-01-01,"01","015","Calhoun County",33137,16.4
"210",2003-01-01,"01","017","Chambers County",30844,16.3
"211",2003-01-01,"01","019","Cherokee County",32158,15.3
"212",2003-01-01,"01","021","Chilton County",34201,14.9
"213",2003-01-01,"01","023","Choctaw County",26829,18.8
"214",2003-01-01,"01","025","Clarke County",28644,19.2
"215",2003-01-01,"01","027","Clay County",29456,14
"216",2003-01-01,"01","029","Cleburne County",32834,14
"217",2003-01-01,"01","031","Coffee County",35739,13.7
"218",2003-01-01,"01","033","Colbert County",33550,14
