County,CrimeRate
Avon and Somerset Constabulary,77.82291467
Bedfordshire Police,64.05688032
Cambridgeshire Constabulary,64.59687868
Cheshire Constabulary,57.23592546
Cleveland Police,89.80827983
Cumbria Constabulary,51.27377489
Derbyshire Constabulary,50.89856818
Devon & Cornwall Police,47.25559441
Durham Constabulary,68.60817414
Dyfed-Powys Police,43.6750111
Essex Police,65.26710291
Gloucestershire Constabulary,47.70548264
Greater Manchester Police,88.19948188
Gwent Police,67.72725796
Hampshire Constabulary,73.02449521
Hertfordshire Constabulary,59.95736093
Humberside Police,79.84499297
Kent Police,69.33440446
Lancashire Constabulary,70.30163836
Leicestershire Police,61.47935128
Lincolnshire Police,49.46758305
City of London Police,746.7568314
Merseyside Police,75.72378654
Metropolitan Police,86.22465068
Norfolk Constabulary,54.60054658
North Wales Police,58.5283222
North Yorkshire Police,44.92576471
Northamptonshire Police,72.29142661
Northumbria Police,81.8984653
Nottinghamshire Police,67.30577983
South Wales Police,73.45502846
South Yorkshire Police,80.60123588
Staffordshire Police,67.28393904
Suffolk Constabulary,58.96628615
Surrey Police,51.33298785
Sussex Police,60.42285126
Thames Valley Police,56.94492369
Warwickshire Police,63.45540447
West Mercia Police,62.1603277
West Midlands Police,69.85139787
West Yorkshire Police,100.0381259
Wiltshire Police,56.925804
