country,origin,year,month,ym,number,dum
Germany,Afghanistan,2013,1,2013-01,674,-0
Germany,Albania,2013,1,2013-01,36,-0
Germany,Algeria,2013,1,2013-01,60,-0
Germany,Angola,2013,1,2013-01,6,-0
Germany,Armenia,2013,1,2013-01,105,-0
Germany,Azerbaijan,2013,1,2013-01,81,-0
Germany,Bangladesh,2013,1,2013-01,59,-0
Germany,Belarus,2013,1,2013-01,4,-0
Germany,Belgium,2013,1,2013-01,1,-0
Germany,Benin,2013,1,2013-01,22,-0
Germany,Bhutan,2013,1,2013-01,1,-0
Germany,Bosnia and Herzegovina,2013,1,2013-01,188,-0
Germany,Bulgaria,2013,1,2013-01,18,-0
Germany,Burkina Faso,2013,1,2013-01,13,-0
Germany,Burundi,2013,1,2013-01,2,-0
Germany,Cambodia,2013,1,2013-01,2,-0
Germany,Cameroon,2013,1,2013-01,27,-0
Germany,Central African Rep.,2013,1,2013-01,2,-0
Germany,Chad,2013,1,2013-01,8,-0
Germany,China,2013,1,2013-01,38,-0
Germany,Colombia,2013,1,2013-01,1,-0
Germany,Congo,2013,1,2013-01,3,-0
Germany,Cuba,2013,1,2013-01,5,-0
Germany,Czech Rep.,2013,1,2013-01,1,-0
Germany,Côte d'Ivoire,2013,1,2013-01,10,-0
Germany,Dem. Rep. of the Congo,2013,1,2013-01,19,-0
Germany,Dominican Rep.,2013,1,2013-01,1,-0
Germany,Egypt,2013,1,2013-01,42,-0
Germany,Eritrea,2013,1,2013-01,56,-0
Germany,Ethiopia,2013,1,2013-01,26,-0
Germany,France,2013,1,2013-01,1,-0
Germany,Gambia,2013,1,2013-01,44,-0
Germany,Georgia,2013,1,2013-01,203,-0
Germany,Ghana,2013,1,2013-01,77,-0
Germany,Guinea,2013,1,2013-01,66,-0
Germany,Guinea-Bissau,2013,1,2013-01,20,-0
Germany,Honduras,2013,1,2013-01,2,-0
Germany,India,2013,1,2013-01,93,-0
Germany,Iran (Islamic Rep. of),2013,1,2013-01,528,-0
Germany,Iraq,2013,1,2013-01,459,-0
Germany,Israel,2013,1,2013-01,2,-0
Germany,Jamaica,2013,1,2013-01,2,-0
Germany,Jordan,2013,1,2013-01,2,-0
Germany,Kazakhstan,2013,1,2013-01,22,-0
Germany,Kenya,2013,1,2013-01,10,-0
Germany,Kyrgyzstan,2013,1,2013-01,8,-0
Germany,Lebanon,2013,1,2013-01,41,-0
Germany,Liberia,2013,1,2013-01,3,-0
Germany,Libya,2013,1,2013-01,14,-0
Germany,Mali,2013,1,2013-01,58,-0
Germany,Mauritania,2013,1,2013-01,3,-0
Germany,Mongolia,2013,1,2013-01,9,-0
Germany,Montenegro,2013,1,2013-01,19,-0
Germany,Morocco,2013,1,2013-01,82,-0
Germany,Myanmar,2013,1,2013-01,8,-0
Germany,Nepal,2013,1,2013-01,1,-0
Germany,Netherlands,2013,1,2013-01,1,-0
Germany,Niger,2013,1,2013-01,4,-0
Germany,Nigeria,2013,1,2013-01,131,-0
Germany,Pakistan,2013,1,2013-01,354,-0
Germany,Peru,2013,1,2013-01,1,-0
Germany,Poland,2013,1,2013-01,2,-0
Germany,Rep. of Moldova,2013,1,2013-01,10,-0
Germany,Russian Federation,2013,1,2013-01,1044,-0
Germany,Rwanda,2013,1,2013-01,4,-0
Germany,Senegal,2013,1,2013-01,20,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2013,1,2013-01,650,-0
Germany,Sierra Leone,2013,1,2013-01,16,-0
Germany,Somalia,2013,1,2013-01,177,-0
Germany,South Sudan,2013,1,2013-01,1,-0
Germany,Sri Lanka,2013,1,2013-01,68,-0
Germany,Stateless,2013,1,2013-01,42,-0
Germany,Sudan,2013,1,2013-01,36,-0
Germany,Syrian Arab Rep.,2013,1,2013-01,1047,-0
Germany,Tajikistan,2013,1,2013-01,16,-0
Germany,Thailand,2013,1,2013-01,1,-0
Germany,The former Yugoslav Rep. of Macedonia,2013,1,2013-01,151,-0
Germany,Togo,2013,1,2013-01,8,-0
Germany,Tunisia,2013,1,2013-01,69,-0
Germany,Turkey,2013,1,2013-01,143,-0
Germany,Turkmenistan,2013,1,2013-01,13,-0
Germany,Uganda,2013,1,2013-01,3,-0
Germany,Ukraine,2013,1,2013-01,13,-0
Germany,United Rep. of Tanzania,2013,1,2013-01,2,-0
Germany,United States of America,2013,1,2013-01,1,-0
Germany,Uzbekistan,2013,1,2013-01,2,-0
Germany,Various/unknown,2013,1,2013-01,147,-0
Germany,Viet Nam,2013,1,2013-01,63,-0
Germany,Yemen,2013,1,2013-01,2,-0
Germany,Afghanistan,2014,1,2014-01,981,-0
Germany,Albania,2014,1,2014-01,423,-0
Germany,Algeria,2014,1,2014-01,182,-0
Germany,Angola,2014,1,2014-01,6,-0
Germany,Armenia,2014,1,2014-01,135,-0
Germany,Azerbaijan,2014,1,2014-01,139,-0
Germany,Bahrain,2014,1,2014-01,13,-0
Germany,Bangladesh,2014,1,2014-01,81,-0
Germany,Belarus,2014,1,2014-01,7,-0
Germany,Benin,2014,1,2014-01,17,-0
Germany,Bosnia and Herzegovina,2014,1,2014-01,631,-0
Germany,Bulgaria,2014,1,2014-01,5,-0
Germany,Burkina Faso,2014,1,2014-01,22,-0
Germany,Cameroon,2014,1,2014-01,55,-0
Germany,Chad,2014,1,2014-01,21,-0
Germany,China,2014,1,2014-01,43,-0
Germany,Congo,2014,1,2014-01,7,-0
Germany,Croatia,2014,1,2014-01,9,-0
Germany,Cuba,2014,1,2014-01,2,-0
Germany,Czech Rep.,2014,1,2014-01,1,-0
Germany,Côte d'Ivoire,2014,1,2014-01,31,-0
Germany,Dem. People's Rep. of Korea,2014,1,2014-01,7,-0
Germany,Dem. Rep. of the Congo,2014,1,2014-01,32,-0
Germany,Egypt,2014,1,2014-01,90,-0
Germany,Eritrea,2014,1,2014-01,509,-0
Germany,Ethiopia,2014,1,2014-01,93,-0
Germany,France,2014,1,2014-01,1,-0
Germany,Gabon,2014,1,2014-01,1,-0
Germany,Gambia,2014,1,2014-01,92,-0
Germany,Georgia,2014,1,2014-01,251,-0
Germany,Ghana,2014,1,2014-01,72,-0
Germany,Guinea,2014,1,2014-01,160,-0
Germany,Guinea-Bissau,2014,1,2014-01,26,-0
Germany,Hungary,2014,1,2014-01,1,-0
Germany,India,2014,1,2014-01,125,-0
Germany,Iran (Islamic Rep. of),2014,1,2014-01,350,-0
Germany,Iraq,2014,1,2014-01,388,-0
Germany,Italy,2014,1,2014-01,1,-0
Germany,Jordan,2014,1,2014-01,5,-0
Germany,Kazakhstan,2014,1,2014-01,19,-0
Germany,Kenya,2014,1,2014-01,9,-0
Germany,Kyrgyzstan,2014,1,2014-01,35,-0
Germany,Lebanon,2014,1,2014-01,107,-0
Germany,Liberia,2014,1,2014-01,8,-0
Germany,Libya,2014,1,2014-01,59,-0
Germany,Malawi,2014,1,2014-01,1,-0
Germany,Mali,2014,1,2014-01,38,-0
Germany,Mauritania,2014,1,2014-01,22,-0
Germany,Mexico,2014,1,2014-01,1,-0
Germany,Mongolia,2014,1,2014-01,38,-0
Germany,Montenegro,2014,1,2014-01,41,-0
Germany,Morocco,2014,1,2014-01,168,-0
Germany,Mozambique,2014,1,2014-01,3,-0
Germany,Myanmar,2014,1,2014-01,5,-0
Germany,Nepal,2014,1,2014-01,4,-0
Germany,Niger,2014,1,2014-01,15,-0
Germany,Nigeria,2014,1,2014-01,229,-0
Germany,Pakistan,2014,1,2014-01,407,-0
Germany,Philippines,2014,1,2014-01,1,-0
Germany,Rep. of Korea,2014,1,2014-01,1,-0
Germany,Rep. of Moldova,2014,1,2014-01,14,-0
Germany,Romania,2014,1,2014-01,2,-0
Germany,Russian Federation,2014,1,2014-01,552,-0
Germany,Rwanda,2014,1,2014-01,2,-0
Germany,Senegal,2014,1,2014-01,49,-0
Germany,Serbia and Kosovo: S/RES/1244 (1999),2014,1,2014-01,2251,-0
Germany,Sierra Leone,2014,1,2014-01,15,-0
Germany,Slovakia,2014,1,2014-01,1,-0
Germany,Somalia,2014,1,2014-01,618,-0
Germany,South Sudan,2014,1,2014-01,8,-0
Germany,Spain,2014,1,2014-01,1,-0
Germany,Sri Lanka,2014,1,2014-01,53,-0
Germany,Stateless,2014,1,2014-01,69,-0
Germany,Sudan,2014,1,2014-01,36,-0
Germany,Syrian Arab Rep.,2014,1,2014-01,1650,-0
Germany,Tajikistan,2014,1,2014-01,9,-0
Germany,The former Yugoslav Rep. of Macedonia,2014,1,2014-01,763,-0
Germany,Togo,2014,1,2014-01,15,-0
Germany,Tunisia,2014,1,2014-01,81,-0
Germany,Turkey,2014,1,2014-01,150,-0
Germany,Turkmenistan,2014,1,2014-01,26,-0
Germany,Uganda,2014,1,2014-01,1,-0
Germany,Ukraine,2014,1,2014-01,20,-0
Germany,United Rep. of Tanzania,2014,1,2014-01,4,-0
Germany,Various/unknown,2014,1,2014-01,259,-0
Germany,Viet Nam,2014,1,2014-01,43,-0
Germany,Yemen,2014,1,2014-01,9,-0
Germany,Zimbabwe,2014,1,2014-01,1,-0
Germany,Afghanistan,2015,1,2015-01,1248,-0
Germany,Albania,2015,1,2015-01,1594,-0
Germany,Algeria,2015,1,2015-01,140,-0
Germany,Angola,2015,1,2015-01,4,-0
Germany,Armenia,2015,1,2015-01,186,-0
Germany,Azerbaijan,2015,1,2015-01,159,-0
Germany,Bangladesh,2015,1,2015-01,36,-0
Germany,Belarus,2015,1,2015-01,15,-0
Germany,Benin,2015,1,2015-01,22,-0
Germany,Bosnia and Herzegovina,2015,1,2015-01,455,-0
Germany,Burkina Faso,2015,1,2015-01,13,-0
Germany,Cameroon,2015,1,2015-01,67,-0
Germany,Central African Rep.,2015,1,2015-01,5,-0
Germany,Chad,2015,1,2015-01,19,-0
Germany,Chile,2015,1,2015-01,1,-0
Germany,China,2015,1,2015-01,25,-0
Germany,Comoros,2015,1,2015-01,6,-0
Germany,Congo,2015,1,2015-01,4,-0
Germany,Croatia,2015,1,2015-01,1,-0
Germany,Czech Rep.,2015,1,2015-01,2,-0
Germany,Côte d'Ivoire,2015,1,2015-01,22,-0
Germany,Dem. Rep. of the Congo,2015,1,2015-01,15,-0
Germany,Djibouti,2015,1,2015-01,2,-0
Germany,Egypt,2015,1,2015-01,118,-0
Germany,Eritrea,2015,1,2015-01,697,-0
Germany,Ethiopia,2015,1,2015-01,128,-0
Germany,Gambia,2015,1,2015-01,219,-0
Germany,Georgia,2015,1,2015-01,262,-0
Germany,Ghana,2015,1,2015-01,69,-0
Germany,Guinea,2015,1,2015-01,49,-0
Germany,Guinea-Bissau,2015,1,2015-01,15,-0
Germany,Honduras,2015,1,2015-01,1,-0
Germany,Hungary,2015,1,2015-01,1,-0
Germany,India,2015,1,2015-01,103,-0
Germany,Iran (Islamic Rep. of),2015,1,2015-01,260,-0
