State,2016,2017,2018,2019
Nordrhein-Westfalen,196734,53343,39579,33879
Baden-Wurttemberg,84610,21371,16062,14990
Niedersachsen,83024,18861,16848,13741
Bayern,82003,24243,21911,18368
Hessen,65520,14676,12865,11901
Rheinland-Pfalz,36985,12951,7622,7406
Schleswig-Holstein,28982,6084,6475,5729
Berlin,27247,9369,8216,8221
Sachsen,23663,7389,7561,6310
Sachsen-Anhalt,19484,5118,4283,4168
Brandenburg,18112,5547,4679,4151
Hamburg,17512,4664,4139,3551
Thuringen,15422,5040,4169,3558
Bremen,8771,2495,1880,1683
Mecklenburg-Vorpommern,7273,3954,2828,2548
Saarland,6865,3099,2685,2141
Unknown,163,113,129,164
