region,state
baden-wuerttemberg,Baden-Wurttemberg
freistaat bayern,Bayern
land berlin,Berlin
land brandenburg,Brandenburg
bremen,Bremen
freie und hansestadt hamburg,Hamburg
land hessen,Hessen
land mecklenburg-vorpommern,Mecklenburg-Vorpommern
land niedersachsen,Niedersachsen
land nordrhein-westfalen,Nordrhein-Westfalen
rheinland-pfalz,Rheinland-Pfalz
saarland,Saarland
freistaat sachsen,Sachsen
land sachsen-anhalt,Sachsen-Anhalt
land schleswig-holstein,Schleswig-Holstein
freistaat thuringen,Thuringen
