county,pop2014,pop2015,pop2016
Avon and Somerset Constabulary,1646414,1665286,1682782
Bedfordshire Police,642018,652378,661459
Cambridgeshire Constabulary,825679,835181,841310
Cheshire Constabulary,1040060,1044171,1049306
Cleveland Police,561122,562260,564625
Cumbria Constabulary,498376,498581,498793
Derbyshire Constabulary,1032695,1036957,1042937
Devon & Cornwall Police,1706731,1720201,1732980
Durham Constabulary,623450,625345,628103
Dyfed-Powys Police,516704,515859,515993
Essex Police,1775471,1790597,1806944
Gloucestershire Constabulary,611739,617527,623094
Greater Manchester Police,2730123,2754017,2780844
Gwent Police,580794,582245,584831
Hampshire Constabulary,1939102,1953349,1969079
Hertfordshire Constabulary,1154195,1165332,1176386
Humberside Police,923888,925157,928474
Kent Police,1782513,1798276,1817395
Lancashire Constabulary,1470919,1476893,1483863
Leicestershire Police,1043436,1055798,1068928
Lincolnshire Police,731886,737350,744811
City of London Police,6139,6687,7246
Merseyside Police,1393548,1401516,1411155
Metropolitan Police,8533259,8660243,8762413
Norfolk Constabulary,877388,884748,891731
North Wales Police,693067,693360,694826
North Yorkshire Police,808384,811801,816458
Northamptonshire Police,713351,722167,732452
Northumbria Police,1434164,1436974,1443861
Nottinghamshire Police,1116001,1125153,1136262
South Wales Police,1301471,1307622,1317500
South Yorkshire Police,1366088,1375457,1385413
Staffordshire Police,1110826,1113912,1120089
Suffolk Constabulary,742499,747734,751175
Surrey Police,1164095,1172382,1180956
Sussex Police,1651665,1667619,1683618
Thames Valley Police,2336630,2357766,2379299
Warwickshire Police,552450,555154,558991
West Mercia Police,1244272,1251476,1261142
West Midlands Police,2805891,2834490,2870551
West Yorkshire Police,2261757,2277796,2295025
Wiltshire Police,700551,706071,710820
,,,
,,,
,,,
,,,
,,[23] ,
,,,
,,,
,,[13] ,
,,,
,,,
,,[35] ,
,,,
,,,
,,,
,,[37] ,
,, [5] ,
,,,
,,,
,,[27] ,
,,,
,,,
,, [3] ,
,,[21] ,
,,,
,,,
,,[31] ,
,,,
,,[39] ,
,, [9] ,
,,,
,, [7] ,
,,[19] ,
,,[41] ,
,,[11] ,
,,[15] ,
,,[25] ,
,,,
,,[33] ,
,,[29] ,
,,[17] ,
